unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
7080,5,5:00,"Dominick Reyes",2,0,0,0,0,11,46,12,12,10,10,0:00,0:00
7082,5,5:00,"Dominick Reyes",3,0,0,0,0,7,25,13,14,6,6,0:00,0:15
7084,5,5:00,"Dominick Reyes",4,0,0,0,0,7,32,4,7,2,2,0:00,0:55
7086,5,5:00,"Dominick Reyes",5,0,0,0,0,9,33,8,8,4,5,0:00,0:31
12586,3,1:03,"Katlyn Chookagian",1,0,0,0,0,0,12,1,3,6,11,0:00,1:17
12588,3,1:03,"Katlyn Chookagian",2,0,0,0,0,0,14,2,4,5,7,0:00,1:46
12590,3,1:03,"Katlyn Chookagian",3,0,0,0,0,0,2,2,2,1,1,0:00,0:29
12075,1,1:59,"Juan Adams",1,0,0,0,0,3,4,2,4,2,3,0:00,0:02
3029,3,5:00,"Mirsad Bektic",1,0,0,0,3,6,24,1,2,0,0,0:02,0:51
3031,3,5:00,"Mirsad Bektic",2,0,1,2,3,3,11,2,2,0,0,4:32,0:00
3033,3,5:00,"Mirsad Bektic",3,0,0,1,4,5,21,0,0,0,0,1:59,0:03
7714,3,5:00,"Ilir Latifi",1,0,0,0,3,1,5,1,1,0,0,2:25,0:29
7716,3,5:00,"Ilir Latifi",2,0,0,2,2,0,2,0,0,2,3,3:16,0:08
7718,3,5:00,"Ilir Latifi",3,0,0,1,2,1,1,0,0,0,0,3:07,0:04
1402,3,5:00,"James Krause",1,0,3,1,1,1,1,1,1,3,3,3:22,0:43
1404,3,5:00,"James Krause",2,0,1,0,1,1,9,3,7,6,6,0:13,2:22
1406,3,5:00,"James Krause",3,0,0,0,2,16,39,4,4,9,10,0:17,0:34
12964,3,5:00,"Andrea Lee",1,0,0,0,1,18,74,16,20,9,10,0:03,0:29
12966,3,5:00,"Andrea Lee",2,0,0,0,1,21,77,11,20,6,6,0:00,0:22
12968,3,5:00,"Andrea Lee",3,0,1,0,1,12,43,7,11,4,6,0:34,1:40
4025,1,0:27,"Alex Morono",1,0,0,0,0,1,3,0,1,0,0,0:00,0:05
11141,2,1:41,"Miles Johns",1,0,0,0,0,6,24,0,0,1,1,0:00,0:00
11143,2,1:41,"Miles Johns",2,0,0,0,0,5,18,0,0,1,1,0:00,0:04
11624,1,0:38,"Journey Newson",1,1,0,0,0,6,10,0,0,0,0,0:05,0:00
9204,3,5:00,"Jonathan Martinez",1,0,0,0,1,7,20,4,7,6,7,1:30,0:02
9206,3,5:00,"Jonathan Martinez",2,0,0,0,2,16,37,5,8,8,13,0:00,0:00
9208,3,5:00,"Jonathan Martinez",3,0,0,0,0,7,31,6,12,7,7,0:00,0:00
13601,3,5:00,"Austin Lingo",1,0,0,1,1,4,22,3,6,1,2,1:00,0:40
13603,3,5:00,"Austin Lingo",2,0,0,0,0,0,11,0,0,0,0,0:16,3:33
13605,3,5:00,"Austin Lingo",3,0,0,0,0,1,14,2,4,1,2,0:09,2:25
2461,1,3:18,"Frankie Edgar",1,0,0,0,2,6,11,1,1,2,2,2:12,0:00
9724,3,5:00,"Aleksandar Rakic",1,0,1,1,4,12,35,9,9,2,3,0:47,0:29
9726,3,5:00,"Aleksandar Rakic",2,0,0,0,2,12,27,4,5,6,7,0:31,0:00
9728,3,5:00,"Aleksandar Rakic",3,0,0,0,3,25,54,3,4,2,3,1:20,0:03
2757,2,4:32,"Dooho Choi",1,1,0,0,0,20,48,6,6,3,3,1:08,0:19
2759,2,4:32,"Dooho Choi",2,0,0,0,0,10,32,3,5,0,0,0:00,0:02
10300,1,1:04,"Mike Rodriguez",1,0,0,0,0,0,1,2,2,2,5,0:00,0:02
9516,3,5:00,"Marc-Andre Barriault",1,0,0,0,1,5,35,2,2,7,10,0:00,0:43
