unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
33004.0,3.0,5:00,Tony Kelley,2.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,3.0,5.0,0:43,1:50
33006.0,3.0,5:00,Tony Kelley,3.0,0.0,0.0,0.0,0.0,7.0,28.0,5.0,9.0,3.0,4.0,0:51,0:22
33007.0,3.0,5:00,Giga Chikadze,1.0,0.0,0.0,0.0,0.0,10.0,35.0,7.0,7.0,6.0,8.0,0:00,0:26
33009.0,3.0,5:00,Giga Chikadze,2.0,0.0,0.0,0.0,1.0,8.0,33.0,3.0,5.0,0.0,1.0,0:07,0:32
33011.0,3.0,5:00,Giga Chikadze,3.0,1.0,0.0,0.0,0.0,14.0,49.0,14.0,16.0,3.0,3.0,0:22,0:06
33013.0,3.0,5:00,Tracy Cortez,1.0,0.0,0.0,1.0,2.0,2.0,7.0,2.0,3.0,2.0,4.0,2:43,0:34
33015.0,3.0,5:00,Tracy Cortez,2.0,0.0,0.0,1.0,1.0,3.0,8.0,1.0,3.0,2.0,2.0,4:16,0:14
33017.0,3.0,5:00,Tracy Cortez,3.0,0.0,0.0,1.0,2.0,6.0,13.0,0.0,0.0,2.0,2.0,2:59,1:19
33020.0,3.0,5:00,Tagir Ulanbekov,1.0,0.0,0.0,1.0,3.0,8.0,39.0,2.0,4.0,3.0,5.0,0:48,0:18
33022.0,3.0,5:00,Tagir Ulanbekov,2.0,0.0,0.0,3.0,4.0,11.0,24.0,0.0,0.0,1.0,1.0,2:26,0:47
33024.0,3.0,5:00,Tagir Ulanbekov,3.0,0.0,0.0,1.0,4.0,19.0,47.0,1.0,1.0,1.0,1.0,0:33,1:16
33025.0,5.0,5:00,Brian Ortega,1.0,1.0,0.0,0.0,0.0,11.0,24.0,5.0,6.0,8.0,9.0,0:00,0:00
33027.0,5.0,5:00,Brian Ortega,2.0,1.0,0.0,2.0,3.0,14.0,25.0,2.0,4.0,7.0,8.0,0:35,0:00
33029.0,5.0,5:00,Brian Ortega,3.0,0.0,0.0,0.0,1.0,13.0,25.0,4.0,4.0,11.0,13.0,0:00,0:00
33031.0,5.0,5:00,Brian Ortega,4.0,0.0,0.0,1.0,4.0,5.0,18.0,5.0,6.0,7.0,11.0,0:22,0:00
33033.0,5.0,5:00,Brian Ortega,5.0,0.0,0.0,0.0,2.0,21.0,43.0,6.0,8.0,8.0,8.0,0:00,0:00
