unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
31021,7146,749,1,"Takeya Mizugaki",0,21,43,1,2,0,0:45,0,1,10,31,0,1,1,1,11,32,0,1,0,0
31022,7146,749,1,"Erik Perez",0,21,41,3,5,0,2:07,0,0,9,25,7,9,0,1,13,31,2,3,1,1
31023,7146,749,2,"Takeya Mizugaki",0,19,46,0,1,0,0:00,0,0,13,40,5,5,0,0,15,41,3,4,0,0
31024,7146,749,2,"Erik Perez",0,12,53,0,4,0,1:06,0,0,4,39,6,11,1,1,6,46,5,5,0,0
31025,7146,749,3,"Takeya Mizugaki",0,19,37,1,2,1,1:55,0,1,9,26,1,2,0,0,4,16,3,8,3,4
31026,7146,749,3,"Erik Perez",0,16,33,2,2,0,1:25,0,0,4,17,5,9,1,1,5,19,5,8,0,0
31027,7112,746,1,"Ronny Markes",0,7,25,2,4,0,0:48,0,1,1,12,1,3,2,7,3,17,0,3,1,2
31028,7112,746,1,"Yoel Romero",0,16,41,0,1,0,0:00,0,0,5,20,2,5,9,16,15,37,1,4,0,0
31029,7112,746,2,"Ronny Markes",0,9,39,0,1,0,0:00,0,0,6,34,2,4,0,0,8,37,0,1,0,0
31030,7112,746,2,"Yoel Romero",0,23,46,0,0,0,0:41,0,0,13,33,4,4,4,6,18,36,3,4,0,3
31031,7112,746,3,"Ronny Markes",0,6,15,0,1,0,0:00,0,0,2,11,2,2,2,2,6,15,0,0,0,0
31032,7112,746,3,"Yoel Romero",1,13,20,0,0,0,0:08,0,0,9,15,3,3,1,2,11,18,0,0,2,2
31033,7122,746,1,"Derek Brunson",1,1,2,0,0,1,0:30,0,1,1,1,0,0,0,1,1,2,0,0,0,0
31034,7122,746,1,"Brian Houston",0,0,1,0,0,0,0:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0
31035,6742,688,1,"Rafael Natal",0,9,16,4,7,1,2:28,0,2,0,6,1,1,2,2,2,8,1,1,0,0
31036,6742,688,1,"Michael Kuiper",0,6,13,0,0,0,1:18,1,0,1,6,1,1,2,4,1,6,2,2,1,3
