fight_id,ending_round,ending_time,unique_round_id,round_number,fighter_name,fighter_knockdowns,fighter_total_strikes_landed,fighter_total_strikes_attempted,fighter_takedowns,fighter_takedowns_attempted,fighter_submission_attempts,fighter_reversals,fighter_control_time,fighter_significant_strikes_head_landed,fighter_significant_strikes_head_attempted,fighter_significant_strikes_body_landed,fighter_significant_strikes_body_attempted,fighter_significant_strikes_leg_landed,fighter_significant_strikes_leg_attempted,fighter_significant_strikes_standing_landed,fighter_significant_strikes_standing_attempted,fighter_significant_strikes_clinch_landed,fighter_significant_strikes_clinch_attempted,fighter_significant_strikes_ground_landed,fighter_significant_strikes_ground_attempted,opponent_knockdowns,opponent_total_strikes_landed,opponent_total_strikes_attempted,opponent_takedowns,opponent_takedowns_attempted,opponent_submission_attempts,opponent_control_time,opponent_reversals,opponent_significant_strikes_head_landed,opponent_significant_strikes_head_attempted,opponent_significant_strikes_body_landed,opponent_significant_strikes_body_attempted,opponent_significant_strikes_leg_landed,opponent_significant_strikes_leg_attempted,opponent_significant_strikes_standing_landed,opponent_significant_strikes_standing_attempted,opponent_significant_strikes_clinch_landed,opponent_significant_strikes_clinch_attempted,opponent_significant_strikes_ground_landed,opponent_significant_strikes_ground_attempted
7305,3,1:59,27227,3,"Evan Dunham",0,5,5,2,2,1,0,0:57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0:45,1,0,0,0,0,1,1,1,1,0,0,0,0
7306,3,5:00,30021,1,"Aaron Simpson",0,21,48,0,2,0,0,0:02,9,33,3,5,1,2,7,30,4,8,2,2,0,36,78,0,3,0,0:47,0,30,72,2,2,0,0,10,34,22,39,0,1
7306,3,5:00,30023,2,"Aaron Simpson",0,26,52,1,2,0,0,1:25,8,29,7,11,1,1,5,22,10,17,1,2,0,13,35,1,1,2,1:14,0,12,34,0,0,0,0,7,24,5,10,0,0
7306,3,5:00,30025,3,"Aaron Simpson",0,27,49,1,2,0,0,3:01,5,23,2,4,0,0,2,14,5,12,0,1,0,11,23,0,2,0,0:36,0,8,20,0,0,0,0,5,15,3,5,0,0
7307,3,5:00,30683,1,"Amir Sadollah",0,35,72,1,1,0,0,0:29,17,48,11,14,7,9,30,57,4,13,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7307,3,5:00,30685,2,"Amir Sadollah",0,34,62,0,0,0,0,0:00,8,32,13,17,9,9,23,48,7,10,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7307,3,5:00,30687,3,"Amir Sadollah",0,26,37,1,1,0,0,4:34,15,26,5,5,2,2,4,7,1,2,17,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7308,3,5:00,30601,1,"Chris Leben",0,52,70,1,1,2,0,4:24,16,24,0,0,0,0,0,2,1,1,15,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7308,3,5:00,30603,2,"Chris Leben",0,65,92,1,1,0,0,3:41,24,42,1,1,4,5,4,12,1,1,24,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7308,3,5:00,30605,3,"Chris Leben",0,64,78,0,1,0,0,2:31,8,18,4,4,3,5,5,12,5,7,5,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
