unique_round_id,%_grappling_control,%_time_standing
6487.0,0.0033333333333333335,0.41
6489.0,0.08666666666666667,0.7066666666666667
12053.0,0.2833333333333333,0.69
12055.0,0.18,0.66
7666.0,0.09666666666666666,0.7966666666666666
7668.0,0.15333333333333332,0.81
1329.0,0.16,0.7966666666666666
1331.0,0.3233333333333333,0.6766666666666666
7843.0,0.2633333333333333,0.37666666666666665
2102.0,0.0,0.9433333333333334
2104.0,0.006666666666666667,0.73
1081.0,0.76,0.24
12039.0,0.0,1.0
12041.0,0.0,1.0
1064.0,0.15333333333333332,0.6633333333333333
1066.0,0.82,0.18
6596.0,0.0,0.54
4600.0,0.14333333333333334,0.7266666666666667
12709.0,0.56,0.38333333333333336
12711.0,0.6233333333333333,0.31333333333333335
10503.0,0.84,0.10333333333333333
88.0,0.48,0.52
13299.0,0.7466666666666667,0.21333333333333335
13301.0,0.74,0.03666666666666667
3128.0,0.14333333333333334,0.5933333333333334
3130.0,0.7066666666666667,0.15
8920.0,0.5833333333333334,0.4166666666666667
8922.0,0.23333333333333334,0.38666666666666666
11429.0,0.0,0.9733333333333334
11431.0,0.0,0.8933333333333333
12821.0,0.0,1.0
12823.0,0.0,1.0
291.0,0.27666666666666667,0.6966666666666667
293.0,0.6066666666666667,0.3466666666666667
3597.0,0.7566666666666667,0.24333333333333335
3599.0,0.65,0.35
3601.0,0.4633333333333333,0.38666666666666666
3603.0,0.7,0.3
1059.0,0.06666666666666667,0.5733333333333334
713.0,0.10666666666666667,0.76
715.0,0.24,0.5733333333333334
1319.0,0.9766666666666667,0.023333333333333334
1321.0,0.66,0.34
979.0,0.08666666666666667,0.7666666666666667
7561.0,0.05,0.8966666666666666
7563.0,0.47333333333333333,0.3933333333333333
12024.0,0.07333333333333333,0.9266666666666666
12026.0,0.0,1.0
685.0,0.0,1.0
8109.0,0.0,0.09666666666666666
5472.0,0.54,0.21333333333333335
5474.0,0.9566666666666667,0.016666666666666666
1368.0,0.06666666666666667,0.7633333333333333
1747.0,0.46,0.25
1749.0,0.1,0.7766666666666666
7876.0,0.0,0.8466666666666667
7878.0,0.0,0.9766666666666667
