unique_round_id,total_round_time,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
7566,300,0,10,16,0,1,0,0:00,0,0.0,6,10,1,2,0,0,7,11,0,1,0,0
7567,211,1,22,36,1,1,0,0:46,0,2.0,16,26,2,2,0,0,3,9,7,9,8,10
7568,211,1,22,30,1,5,1,2:07,0,1.0,8,14,2,2,4,4,6,7,6,9,2,4
7573,300,0,10,18,1,1,0,0:09,0,1.0,1,8,0,0,0,0,1,8,0,0,0,0
7574,300,0,24,29,0,0,0,3:13,1,0.0,2,6,0,0,1,2,1,4,0,0,2,4
7575,300,0,7,15,0,0,0,0:00,0,0.0,0,8,0,0,0,0,0,8,0,0,0,0
7576,300,0,31,37,1,2,0,3:34,0,2.0,9,12,0,0,0,0,2,5,0,0,7,7
7577,300,0,8,11,0,0,0,0:12,1,2.0,1,4,0,0,0,0,0,3,0,0,1,1
7578,300,0,23,37,2,2,1,3:26,0,2.0,8,16,1,1,0,0,1,1,1,1,7,15
7583,300,0,20,50,0,2,0,0:00,0,0.0,9,37,4,4,7,9,20,50,0,0,0,0
7584,300,0,12,38,1,1,0,0:09,0,0.0,5,30,3,4,4,4,11,37,1,1,0,0
7585,300,0,19,60,0,2,0,0:00,0,0.0,11,47,2,6,6,7,19,60,0,0,0,0
7586,300,0,16,45,0,0,0,0:00,0,0.0,9,33,6,10,1,2,16,45,0,0,0,0
7587,300,0,20,70,0,2,0,0:01,0,0.0,16,65,1,1,3,4,20,70,0,0,0,0
7588,300,0,17,46,0,0,0,0:01,0,0.0,16,43,1,1,0,2,16,45,1,1,0,0
7589,300,0,17,54,0,0,0,0:00,0,0.0,15,50,1,1,1,3,17,54,0,0,0,0
7590,300,2,16,48,0,0,0,0:05,0,0.0,11,41,0,1,4,5,15,46,0,0,0,1
7591,300,0,19,64,0,1,0,0:00,0,0.0,7,51,1,2,4,4,12,57,0,0,0,0
7592,300,0,10,21,0,3,0,0:24,0,0.0,6,17,1,1,1,1,8,17,0,2,0,0
7605,300,0,4,9,0,0,0,0:37,0,0.0,1,5,0,1,2,2,3,7,0,0,0,1
7606,300,0,22,37,0,1,0,3:49,1,1.0,4,6,0,0,0,0,0,0,0,0,4,6
7613,300,1,21,24,0,0,0,2:48,1,4.0,4,7,2,2,3,3,4,6,0,0,5,6
7614,300,0,10,14,0,0,0,1:38,2,2.0,3,7,1,1,0,0,1,5,0,0,3,3
7615,300,1,24,36,0,2,0,3:04,0,3.0,16,27,2,2,2,2,2,2,1,1,17,28
7616,300,0,17,23,0,0,0,1:34,1,1.0,1,3,1,1,1,1,1,2,2,2,0,1
7617,300,0,12,21,0,0,1,2:12,0,3.0,9,17,1,2,0,0,1,7,0,0,9,12
7618,300,0,27,29,0,1,0,1:53,0,1.0,2,4,0,0,0,0,1,3,0,0,1,1
7619,300,0,24,36,1,2,0,2:24,0,0.0,8,19,9,10,1,1,7,18,11,12,0,0
7620,300,0,20,33,1,2,0,0:18,0,0.0,4,13,7,11,7,7,9,19,9,12,0,0
7621,300,0,12,19,0,1,0,1:44,0,1.0,4,9,1,1,1,1,6,11,0,0,0,0
7622,300,0,39,43,0,0,2,2:35,1,2.0,6,8,2,2,3,3,4,6,2,2,5,5
7623,300,0,6,8,0,2,0,0:17,0,1.0,1,3,1,1,0,0,1,3,1,1,0,0
7624,300,0,30,34,1,3,0,4:18,1,4.0,7,9,4,4,2,2,2,3,0,0,11,12
7625,172,0,21,28,0,0,1,1:10,0,1.0,3,6,3,7,6,6,12,19,0,0,0,0
7626,172,0,5,10,0,0,0,0:00,0,0.0,3,7,0,0,0,1,3,8,0,0,0,0
7629,300,0,11,27,0,1,0,0:00,0,0.0,6,19,3,5,2,3,10,26,1,1,0,0
7630,300,0,15,43,0,0,0,0:00,0,0.0,3,12,4,14,8,17,15,43,0,0,0,0
7635,300,0,1,8,0,0,0,0:00,0,0.0,0,6,1,1,0,1,1,8,0,0,0,0
7636,300,0,48,58,2,4,0,4:09,0,3.0,9,14,0,0,0,0,1,6,0,0,8,8
7637,300,0,19,38,1,1,0,0:10,0,0.0,12,30,5,5,1,2,18,36,0,1,0,0
7638,300,0,18,28,0,1,0,2:06,1,1.0,5,14,1,1,0,0,3,11,1,1,2,3
7639,300,0,30,42,0,0,0,2:17,1,0.0,15,25,6,8,0,0,17,26,0,0,4,7
7640,300,0,7,9,1,3,0,1:37,0,3.0,1,3,0,0,0,0,1,3,0,0,0,0
7641,300,0,12,25,1,3,0,2:44,0,2.0,1,7,1,1,2,4,2,10,0,0,2,2
7642,300,0,15,29,0,0,0,0:08,0,0.0,10,24,2,2,0,0,10,24,2,2,0,0
7643,300,0,12,48,0,0,0,0:00,0,0.0,7,41,4,6,1,1,12,48,0,0,0,0
7644,300,0,37,60,0,0,0,0:00,0,0.0,33,55,2,3,2,2,37,60,0,0,0,0
7647,300,1,25,69,0,0,0,0:16,0,0.0,17,58,5,7,3,4,23,65,1,1,1,3
7648,300,0,18,51,0,1,0,0:00,0,0.0,9,37,5,6,4,8,18,51,0,0,0,0
7649,300,0,23,47,2,2,0,0:53,0,2.0,16,40,1,1,4,4,18,42,1,1,2,2
7650,300,0,19,60,0,0,0,0:00,0,0.0,13,54,5,5,1,1,19,60,0,0,0,0
7651,300,0,26,86,0,1,0,0:02,0,0.0,18,77,5,6,3,3,26,86,0,0,0,0
7652,300,0,32,114,0,0,0,0:00,0,0.0,23,104,7,7,2,3,32,113,0,0,0,1
7653,300,0,25,43,1,4,0,1:25,0,0.0,6,23,6,7,7,7,17,34,2,3,0,0
7654,300,0,17,64,0,0,0,0:00,0,0.0,8,53,4,6,3,3,13,60,2,2,0,0
7655,300,0,31,74,1,2,0,0:19,0,0.0,12,47,7,12,11,14,26,67,4,6,0,0
7656,300,0,17,91,0,0,0,0:00,0,0.0,10,80,0,3,5,6,15,88,0,1,0,0
7657,300,0,29,57,1,3,0,1:14,0,0.0,7,29,2,5,20,22,27,51,2,5,0,0
7658,300,0,17,84,0,0,0,0:00,0,0.0,10,73,1,4,1,1,12,78,0,0,0,0
7659,300,1,26,55,0,0,0,1:17,0,0.0,10,33,7,12,7,8,19,46,3,5,2,2
7660,300,0,18,39,0,1,0,0:05,0,0.0,7,25,8,11,3,3,16,35,2,4,0,0
7661,300,0,25,59,0,0,0,0:00,0,0.0,12,42,3,4,10,13,24,58,1,1,0,0
7662,300,0,33,69,1,2,0,0:20,0,1.0,23,54,5,9,5,6,33,69,0,0,0,0
7663,300,0,23,63,0,0,0,0:00,0,0.0,20,51,2,5,1,7,22,62,1,1,0,0
7664,300,0,35,87,0,0,0,0:00,0,0.0,24,70,8,12,3,5,35,87,0,0,0,0
7665,300,0,13,44,0,1,0,0:32,0,0.0,0,23,6,12,5,7,11,39,0,3,0,0
7666,300,0,20,47,0,1,0,0:29,0,0.0,2,25,3,3,11,15,14,40,2,3,0,0
7667,300,0,18,42,0,2,1,0:11,0,0.0,5,26,10,12,2,3,11,35,5,5,1,1
7668,300,0,45,75,0,2,0,0:46,0,0.0,21,46,7,8,12,16,29,54,11,16,0,0
7669,300,0,18,34,0,0,1,1:02,0,0.0,3,13,5,9,1,1,1,9,8,14,0,0
7670,300,0,56,68,1,3,0,2:01,0,1.0,16,27,11,11,5,5,14,20,17,21,1,2
7673,300,0,54,79,2,2,0,4:18,0,0.0,12,24,1,3,0,0,2,9,0,0,11,18
7674,300,1,18,33,0,0,0,0:01,0,0.0,7,13,3,4,0,0,4,7,0,0,6,10
7675,220,0,24,57,1,1,0,0:12,0,0.0,13,44,5,6,5,6,23,56,0,0,0,0
7676,220,1,32,74,0,0,0,0:12,0,0.0,26,62,4,7,2,5,28,67,0,0,4,7
7677,300,0,35,61,0,0,0,1:17,0,0.0,20,43,13,16,0,0,29,53,1,1,3,5
7678,300,0,5,27,0,1,0,0:20,0,0.0,3,23,2,4,0,0,4,26,1,1,0,0
7679,166,0,4,19,0,0,0,0:13,0,0.0,3,16,0,2,1,1,3,18,1,1,0,0
7680,166,0,15,27,1,1,1,0:30,0,2.0,2,13,7,8,0,0,7,19,2,2,0,0
7681,209,0,13,23,8,10,1,3:03,0,4.0,2,7,0,1,0,0,2,6,0,2,0,0
7682,209,0,7,10,0,0,0,0:00,0,0.0,3,6,0,0,0,0,3,6,0,0,0,0
7683,300,0,26,87,0,0,1,0:00,0,0.0,16,73,8,11,2,3,20,80,6,7,0,0
7684,300,0,35,56,1,2,0,0:00,0,0.0,19,39,14,15,0,0,33,53,0,1,0,0
7685,300,0,20,72,0,0,0,0:00,0,0.0,14,58,4,10,1,3,17,69,2,2,0,0
7686,300,0,36,66,0,0,0,0:00,0,0.0,15,41,15,18,6,7,33,63,3,3,0,0
7687,300,0,21,39,0,0,0,0:00,0,0.0,7,22,0,0,0,0,7,22,0,0,0,0
7688,300,0,42,49,1,1,0,0:00,0,1.0,6,9,0,0,1,1,1,4,0,0,6,6
7689,300,0,60,84,0,1,0,1:28,0,0.0,13,29,13,17,6,8,10,29,22,25,0,0
7690,300,0,29,44,1,6,0,1:22,0,0.0,14,27,2,2,2,2,10,22,8,9,0,0
7691,191,0,55,68,0,1,1,2:36,1,2.0,20,26,5,7,1,1,2,9,5,5,19,20
7692,191,0,5,7,1,1,0,0:18,0,0.0,3,4,1,1,0,0,2,2,1,1,1,2
7693,300,0,9,16,0,4,0,0:11,0,0.0,5,11,0,0,4,5,9,16,0,0,0,0
7694,300,0,15,38,0,0,0,0:13,0,0.0,5,22,1,2,5,10,11,34,0,0,0,0
7695,300,0,22,37,2,6,0,1:25,0,1.0,8,19,0,1,2,3,8,21,0,0,2,2
7696,300,0,45,79,0,0,0,0:00,0,0.0,12,44,3,4,5,6,19,52,1,2,0,0
7697,300,0,5,16,0,4,0,0:00,0,0.0,1,9,0,3,4,4,5,16,0,0,0,0
7698,300,0,15,62,0,0,0,0:00,0,0.0,5,48,6,10,4,4,14,58,1,4,0,0
7699,300,1,38,72,0,0,0,0:23,0,0.0,29,63,2,2,4,4,23,51,2,2,10,16
7700,300,0,31,98,0,0,0,0:12,0,0.0,25,89,5,8,1,1,29,94,2,4,0,0
7701,174,0,35,49,0,0,0,0:00,0,0.0,20,30,0,3,5,6,17,30,8,9,0,0
7702,174,0,6,33,0,2,0,0:00,0,0.0,5,31,1,2,0,0,6,32,0,0,0,1
7703,178,0,10,15,2,2,1,1:54,0,2.0,5,10,0,0,0,0,0,3,0,0,5,7
7704,178,0,7,12,0,0,0,0:00,0,0.0,2,7,1,1,2,2,5,10,0,0,0,0
7705,300,0,10,25,0,0,0,0:00,0,0.0,8,21,1,3,0,0,9,24,0,0,0,0
7706,300,1,6,22,0,4,0,0:03,0,0.0,4,16,1,4,0,1,4,17,1,3,0,1
7709,300,0,44,68,0,0,0,0:12,0,0.0,12,35,4,4,6,6,17,37,5,8,0,0
7710,300,0,7,21,1,5,0,1:06,0,0.0,5,18,0,1,0,0,4,16,1,3,0,0
7711,271,2,48,98,0,0,0,0:13,0,0.0,32,79,7,10,3,3,30,73,7,12,5,7
7712,271,0,13,41,0,0,0,0:00,0,0.0,11,36,2,5,0,0,13,40,0,1,0,0
7713,300,0,13,19,0,1,0,0:29,0,0.0,2,8,5,5,0,0,4,9,3,4,0,0
7714,300,0,6,10,0,3,0,2:25,0,0.0,1,5,1,1,0,0,0,2,2,4,0,0
7715,300,0,2,14,0,0,0,0:08,0,0.0,0,9,2,3,0,1,2,11,0,2,0,0
7716,300,0,32,40,2,2,0,3:16,0,1.0,0,2,0,0,2,3,2,5,0,0,0,0
7717,300,0,12,25,0,0,0,0:04,0,0.0,10,22,1,2,0,0,6,18,5,6,0,0
7718,300,0,24,27,1,2,0,3:07,0,1.0,1,1,0,0,0,0,1,1,0,0,0,0
7719,176,0,7,33,0,0,0,0:00,0,0.0,6,30,0,2,0,0,6,30,0,2,0,0
7720,176,1,19,34,0,0,0,0:01,0,0.0,12,26,5,6,2,2,17,31,2,3,0,0
7721,300,0,45,62,1,1,0,3:05,0,4.0,20,35,2,4,0,0,7,18,4,4,11,17
7722,300,0,5,27,0,1,0,0:00,0,0.0,4,26,0,0,1,1,5,27,0,0,0,0
7723,300,0,50,56,1,1,0,4:30,0,2.0,22,28,4,4,0,0,2,6,0,0,24,26
7724,300,0,5,9,0,0,0,0:00,0,0.0,1,5,0,0,2,2,3,7,0,0,0,0
7725,300,0,61,70,1,1,0,4:39,0,4.0,22,29,0,0,0,0,2,4,0,0,20,25
7726,300,0,1,3,0,1,0,0:00,0,0.0,1,3,0,0,0,0,1,3,0,0,0,0
7727,188,0,11,27,0,0,0,0:03,0,0.0,4,19,3,4,4,4,11,27,0,0,0,0
7728,188,1,13,31,0,0,0,0:02,0,0.0,11,27,1,3,1,1,12,29,0,1,1,1
7729,185,1,6,13,0,0,0,0:01,0,0.0,5,11,0,1,1,1,6,13,0,0,0,0
7730,185,0,6,27,0,3,0,0:00,0,0.0,4,24,0,1,2,2,5,26,1,1,0,0
7731,300,0,16,28,0,0,0,0:01,0,0.0,9,20,3,4,3,3,11,23,4,4,0,0
7732,300,0,23,34,2,5,0,3:11,0,0.0,8,14,4,5,2,2,8,13,5,7,1,1
7733,300,0,11,18,0,0,0,0:00,0,0.0,5,11,0,1,0,0,3,9,2,3,0,0
7734,300,0,32,46,2,4,0,3:56,0,0.0,7,11,2,3,2,3,2,6,4,6,5,5
7737,300,0,45,64,0,1,0,0:01,0,0.0,19,35,9,10,5,6,24,41,9,10,0,0
7738,300,0,66,101,0,2,0,2:02,0,0.0,28,58,2,4,11,12,31,63,10,11,0,0
7739,300,0,39,65,0,0,0,0:01,0,0.0,16,41,11,11,7,7,27,51,7,8,0,0
7740,300,1,55,98,0,1,0,1:10,0,0.0,21,61,10,11,9,9,33,73,7,8,0,0
7741,300,0,36,65,0,0,0,0:04,0,0.0,20,46,3,4,3,4,23,50,3,4,0,0
7742,300,0,32,77,0,1,2,0:59,0,0.0,21,64,5,7,2,2,28,73,0,0,0,0
7743,300,0,57,75,4,4,0,4:22,0,2.0,33,49,2,2,2,2,3,6,1,1,33,46
7744,300,0,12,24,0,0,0,0:00,0,0.0,4,14,1,1,1,2,2,10,1,1,3,6
7745,156,0,37,58,1,1,0,2:24,0,2.0,29,50,0,0,0,0,1,4,0,0,28,46
7746,156,0,3,5,0,0,0,0:00,0,0.0,1,3,1,1,1,1,1,3,0,0,2,2
7747,300,0,39,58,0,1,0,0:16,0,0.0,15,34,8,8,3,3,18,37,8,8,0,0
7748,300,1,48,88,0,0,0,1:46,0,1.0,25,63,6,7,1,2,20,52,6,8,6,12
7749,300,0,53,81,1,2,0,2:26,0,3.0,35,58,3,4,1,2,11,18,6,9,22,37
7750,300,0,29,37,0,2,0,1:03,0,0.0,6,14,4,4,2,2,7,12,2,3,3,5
7751,300,0,28,63,0,0,0,0:00,0,0.0,26,58,1,2,1,3,27,62,1,1,0,0
7752,300,0,47,84,0,1,0,0:23,0,0.0,32,66,7,8,1,1,37,71,3,4,0,0
7753,300,0,34,66,0,0,0,1:11,0,0.0,17,48,9,10,4,4,19,41,11,21,0,0
7754,300,0,18,41,0,0,0,0:26,0,0.0,9,24,4,11,0,1,12,33,1,3,0,0
7755,300,0,43,81,0,0,0,0:00,0,0.0,18,47,13,18,2,2,19,45,14,22,0,0
7756,300,0,42,61,1,1,0,1:49,0,0.0,12,28,16,19,1,1,21,34,8,14,0,0
7757,300,0,37,83,0,0,0,0:00,0,0.0,24,65,9,13,3,4,29,69,7,13,0,0
7758,300,0,34,60,0,0,0,0:37,0,0.0,16,35,9,15,0,0,22,46,3,4,0,0
7759,300,0,15,28,0,0,0,0:00,0,0.0,4,13,4,8,0,0,6,17,2,4,0,0
7760,300,0,44,91,2,4,0,2:22,0,1.0,19,54,9,12,1,1,17,47,3,7,9,13
7761,300,0,25,33,0,0,0,0:00,0,0.0,8,13,5,7,0,0,5,10,8,10,0,0
7762,300,0,22,34,2,6,0,3:49,0,2.0,8,17,3,6,2,2,5,12,7,12,1,1
7763,300,0,9,17,0,0,0,0:00,0,0.0,4,11,1,2,0,0,2,9,3,4,0,0
7764,300,0,31,60,2,5,0,2:21,0,2.0,13,36,3,4,2,2,11,32,7,10,0,0
7765,300,0,41,73,0,0,0,0:02,0,0.0,27,58,10,11,1,1,34,65,4,5,0,0
7766,300,0,39,67,1,1,0,0:49,0,1.0,20,45,3,4,4,5,26,53,1,1,0,0
7769,297,1,31,50,1,2,2,1:34,0,2.0,17,34,4,5,0,0,6,13,14,23,1,3
7770,297,0,80,114,0,0,0,1:52,2,2.0,29,52,9,14,4,4,11,24,21,31,10,15
7781,300,0,30,70,0,0,0,0:00,0,0.0,26,63,4,7,0,0,23,60,7,10,0,0
7782,300,0,10,42,0,1,0,0:00,0,0.0,6,30,0,5,4,7,10,41,0,1,0,0
7783,300,0,30,73,0,0,0,0:07,0,0.0,26,68,3,3,1,2,28,69,2,4,0,0
